fname,labels,is_valid
000005.jpg,chair,True
000007.jpg,car,True
000009.jpg,horse person,True
000012.jpg,car,False
000016.jpg,bicycle,True
000017.jpg,person horse,False
000019.jpg,cat,True
000020.jpg,car,True
000021.jpg,dog person,True
000023.jpg,bicycle person,False
000024.jpg,train,True
000026.jpg,car,False
000030.jpg,bicycle person,True
000032.jpg,aeroplane person,False
000033.jpg,aeroplane,False
000034.jpg,train,False
000035.jpg,person diningtable,False
000036.jpg,dog,False
000039.jpg,tvmonitor,True
000041.jpg,tvmonitor person,True
000042.jpg,train,False
000044.jpg,chair cat,False
000046.jpg,bird,True
000047.jpg,car chair,False
000048.jpg,bird person,False
000050.jpg,chair bottle person,True
000051.jpg,motorbike person,True
000052.jpg,pottedplant,True
000060.jpg,car,True
000061.jpg,boat,False
000063.jpg,dog chair,True
000064.jpg,bird,False
000065.jpg,dog,True
000066.jpg,person,False
000072.jpg,motorbike,True
000073.jpg,pottedplant boat person,False
000077.jpg,cat,False
000078.jpg,dog,False
000081.jpg,sofa person,True
000083.jpg,car person,False
000089.jpg,person chair,False
000091.jpg,car,False
000093.jpg,dog chair,True
000095.jpg,train,True
000099.jpg,cat,True
000101.jpg,chair person,True
000102.jpg,sofa,True
000104.jpg,tvmonitor person,False
000107.jpg,sheep cow,True
000109.jpg,bird,True
000110.jpg,person,True
000112.jpg,dog chair,False
000113.jpg,person,True
000117.jpg,aeroplane,True
000118.jpg,cat,True
000120.jpg,dog,True
000121.jpg,tvmonitor,True
000122.jpg,cat,False
000123.jpg,train,True
000125.jpg,bicycle person,True
000129.jpg,bicycle person,False
000130.jpg,boat,True
000131.jpg,car person,True
000132.jpg,bus,True
000133.jpg,person horse,False
000134.jpg,car,False
000138.jpg,person,False
000140.jpg,dog sofa,False
000141.jpg,bird,False
000142.jpg,car,True
000143.jpg,cat,True
000146.jpg,person,True
000147.jpg,chair,False
000150.jpg,horse person,True
000153.jpg,car,False
000154.jpg,boat,False
000156.jpg,sofa car,True
000158.jpg,bird,True
000159.jpg,person car,False
000161.jpg,car,False
000162.jpg,tvmonitor person,False
000163.jpg,person motorbike,False
000164.jpg,motorbike person,False
000165.jpg,person,True
000169.jpg,car person,True
000170.jpg,bottle person,True
000171.jpg,dog person,False
000173.jpg,person horse,False
000174.jpg,person,False
000177.jpg,diningtable person,True
000180.jpg,car,True
000184.jpg,boat,True
000187.jpg,tvmonitor,False
000189.jpg,bird,False
000190.jpg,bus person,True
000192.jpg,person chair,False
000193.jpg,person sofa,False
000194.jpg,horse person,False
000198.jpg,train,False
000200.jpg,person bottle,False
000203.jpg,chair,True
000207.jpg,bus,False
000208.jpg,diningtable chair sofa,True
000209.jpg,cat,False
000210.jpg,car person,True
000211.jpg,cow,True
000214.jpg,horse,True
000215.jpg,cat,True
000218.jpg,dog chair person,True
000219.jpg,motorbike,False
000220.jpg,car person,False
000221.jpg,car,True
000222.jpg,diningtable person bottle chair,False
000224.jpg,tvmonitor bottle,True
000225.jpg,sheep,False
000228.jpg,aeroplane,False
000229.jpg,diningtable person bottle chair,True
000232.jpg,cow person boat,True
000233.jpg,sheep car,True
000235.jpg,chair diningtable sofa pottedplant,False
000236.jpg,bird,True
000241.jpg,boat,True
000242.jpg,cat,False
000244.jpg,sheep,True
000245.jpg,car person,True
000246.jpg,dog,True
000249.jpg,chair diningtable,True
000250.jpg,diningtable bottle,False
000251.jpg,car person,True
000256.jpg,aeroplane,False
000257.jpg,tvmonitor person,True
000259.jpg,person,False
000262.jpg,car,False
000263.jpg,car,False
000266.jpg,dog sofa,True
000268.jpg,aeroplane,True
000269.jpg,bottle person,True
000270.jpg,train,True
000275.jpg,person horse,True
000276.jpg,person,False
000278.jpg,dog person,False
000282.jpg,chair person,False
000285.jpg,person chair,True
000288.jpg,person car bus,False
000289.jpg,car,True
000294.jpg,bird,False
000296.jpg,car boat,False
000298.jpg,person,True
000302.jpg,car person motorbike,True
000303.jpg,car,True
000304.jpg,tvmonitor,True
000305.jpg,bicycle person,True
000306.jpg,cow,False
000307.jpg,pottedplant,False
000308.jpg,person diningtable,True
000311.jpg,car,False
000312.jpg,train,False
000317.jpg,car,False
000318.jpg,car,True
000320.jpg,car person,False
000321.jpg,person,True
000322.jpg,person,True
000323.jpg,person,True
000325.jpg,aeroplane,False
000328.jpg,horse person,True
000329.jpg,car,True
000331.jpg,chair person,False
000332.jpg,horse,True
000334.jpg,car,False
000336.jpg,dog,True
000337.jpg,bicycle person,False
000338.jpg,person car,True
000340.jpg,bird,True
000343.jpg,car,True
000344.jpg,bottle,False
000347.jpg,horse,False
000349.jpg,diningtable chair tvmonitor,False
000352.jpg,person sofa,True
000354.jpg,cat,True
000355.jpg,car,False
000359.jpg,dog person chair,False
000363.jpg,bird,True
000367.jpg,bottle car person,False
000370.jpg,boat,False
000372.jpg,person horse,False
000373.jpg,car,True
000374.jpg,motorbike person,True
000379.jpg,bicycle,False
000380.jpg,bicycle,True
000381.jpg,diningtable chair bottle,True
000382.jpg,boat person,False
000387.jpg,car,False
000391.jpg,pottedplant,False
000394.jpg,diningtable person,False
000395.jpg,bird,False
000396.jpg,car,True
000400.jpg,cat,False
000403.jpg,cat,True
000404.jpg,car,False
000406.jpg,car person,False
000407.jpg,person horse,False
000408.jpg,cow,True
000411.jpg,person,False
000416.jpg,sheep,False
000417.jpg,cow,True
000419.jpg,motorbike person,True
000420.jpg,car,True
000424.jpg,bird,True
000427.jpg,motorbike,True
000428.jpg,person diningtable chair,True
000430.jpg,cat,False
000431.jpg,aeroplane car,False
000433.jpg,chair person,True
000435.jpg,horse person,True
000438.jpg,person,False
000439.jpg,train,True
000443.jpg,person dog,True
000446.jpg,person,False
000448.jpg,diningtable person,True
000450.jpg,train,False
000454.jpg,dog,False
000459.jpg,chair diningtable,True
000460.jpg,chair,True
000461.jpg,car,True
000462.jpg,cow,True
000463.jpg,motorbike person car,False
000464.jpg,cow,True
000468.jpg,person,False
000469.jpg,car,False
000470.jpg,horse person,False
000474.jpg,car boat,False
000476.jpg,person dog sofa,False
000477.jpg,bus car bicycle person,False
000480.jpg,person aeroplane,True
000482.jpg,train person,True
000483.jpg,horse person,True
000484.jpg,pottedplant,False
000486.jpg,cat,True
000489.jpg,bird,False
000491.jpg,cow,True
000492.jpg,chair diningtable,True
000494.jpg,car,True
000496.jpg,diningtable chair,False
000498.jpg,bottle person,True
000499.jpg,person motorbike,True
000500.jpg,bicycle person,True
000501.jpg,dog,True
000503.jpg,sofa,False
000508.jpg,bird,False
000509.jpg,car,True
000513.jpg,boat,True
000514.jpg,aeroplane,True
000515.jpg,bicycle person car,True
000516.jpg,cat person sofa,False
000518.jpg,person bus,False
000519.jpg,boat,False
000520.jpg,person,True
000522.jpg,car,False
000523.jpg,person horse,True
000524.jpg,horse person,False
000525.jpg,motorbike person,False
000526.jpg,person chair,False
000528.jpg,cat,False
000530.jpg,person sofa,True
000531.jpg,person bottle,True
000535.jpg,bicycle person,False
